"001"|"FLEETGUARD"|"FLEETGUARD"|""|""|""|""|"001"|28/04/2021 12:21:48|"001"|18/04/2024 16:00:26|""|28/04/2021 12:21:48|" "|" "|"ZZZ"|""|""|F
"002"|"MULTIPOINT"|"MULTIPOINT"|""|""|""|""|"001"|28/04/2021 12:45:53|""|28/04/2021 12:45:53|""|28/04/2021 12:45:53|" "|" "|""|""|""|F
"003"|"EXACT CARS"|"EXACT CARS"|""|""|""|""|"001"|28/04/2021 12:57:58|""|28/04/2021 12:57:58|""|28/04/2021 12:57:58|" "|" "|""|""|""|F
"004"|"FERMETAL"|"FERMETAL"|""|""|""|""|"001"|28/04/2021 13:05:43|""|28/04/2021 13:05:43|""|28/04/2021 13:05:43|" "|" "|""|""|""|F
"005"|"TW"|"TW"|""|""|""|""|"001"|28/04/2021 14:41:45|""|28/04/2021 14:41:45|""|28/04/2021 14:41:45|" "|" "|""|""|""|F
"006"|"UNIVERSAL"|"UNIVERSAL"|""|""|""|""|"001"|29/04/2021 11:59:36|""|29/04/2021 11:59:36|""|29/04/2021 11:59:36|" "|" "|""|""|""|F
"007"|"ARISTA"|"ARISTA"|""|""|""|""|"001"|29/04/2021 13:27:51|""|29/04/2021 13:27:51|""|29/04/2021 13:27:51|" "|" "|""|""|""|F
"008"|"NACIONAL"|"NACIONAL"|""|""|""|""|"001"|29/04/2021 14:01:10|""|29/04/2021 14:01:10|""|29/04/2021 14:01:10|" "|" "|""|""|""|F
"009"|"TYPE R"|"TYPE R"|""|""|""|""|"001"|29/04/2021 14:37:49|""|29/04/2021 14:37:49|""|29/04/2021 14:37:49|" "|" "|""|""|""|F
"01"|"--"|"--"|""|""|""|""|"001"|15/12/2022 12:44:25|""|15/12/2022 12:44:25|""|15/12/2022 12:44:25|" "|" "|"OP"|""|""|F
"010"|"MOTORCRAFT"|"MOTORCRAFT"|""|""|""|""|"001"|29/04/2021 15:39:51|""|29/04/2021 15:39:51|""|29/04/2021 15:39:51|" "|" "|""|""|""|F
"011"|"A1"|"A1"|""|""|""|""|"001"|29/04/2021 15:43:47|""|29/04/2021 15:43:47|""|29/04/2021 15:43:47|" "|" "|""|""|""|F
"012"|"ORIGINAL"|"ORIGINAL"|""|""|""|""|"001"|29/04/2021 15:47:06|""|29/04/2021 15:47:06|""|29/04/2021 15:47:06|" "|" "|""|""|""|F
"013"|"MOTOPARTS"|"MOTOPARTS"|""|""|""|""|"001"|29/04/2021 15:55:41|""|29/04/2021 15:55:41|""|29/04/2021 15:55:41|" "|" "|""|""|""|F
"014"|"CHICAGO"|"CHICAGO"|""|""|""|""|"001"|29/04/2021 16:18:22|""|29/04/2021 16:18:22|""|29/04/2021 16:18:22|" "|" "|""|""|""|F
"015"|"CHERY"|"CHERY"|""|""|""|""|"001"|03/05/2021 11:15:34|""|03/05/2021 11:15:34|""|03/05/2021 11:15:34|" "|" "|""|""|""|F
"016"|"TOYOTA"|"TOYOTA"|""|""|""|""|"001"|03/05/2021 11:32:00|""|03/05/2021 11:32:00|""|03/05/2021 11:32:00|" "|" "|""|""|""|F
"017"|"PROMASTER"|"PROMASTER"|""|""|""|""|"001"|03/05/2021 11:39:56|""|03/05/2021 11:39:56|""|03/05/2021 11:39:56|" "|" "|""|""|""|F
"018"|"NECCO"|"NECCO"|""|""|""|""|"001"|03/05/2021 11:42:49|"001"|28/06/2022 15:28:53|""|03/05/2021 11:42:49|" "|" "|"ZZZ"|""|""|F
